designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 66785852397412224,66785852397412224,56.474158220254864,24.46890649577369,10.704195851873392,23.98688373117443,-48.64427761617867,1.3704021,14.150265,2.46743,-4.050462,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3519.544,4.5997,-0.2539,94.4813,0.6372,0.4216,0.2624,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.3360119309924432
Gaia DR3 65017837699513216,65017837699513216,56.81715564811438,23.818886404774034,10.23060400306021,-33.733062525692695,2.526994674374886,0.77084535,10.673792,0.97460747,-3.542757,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5334.0254,4.5831,-0.194,97.402,0.1013,0.0829,0.0442,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.3871528048605394
Gaia DR3 66524409149512064,66524409149512064,57.13392048945094,24.08053159923324,10.806362943809157,137.37663030679147,123.15823641419661,1.0851063,16.056797,2.8624973,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3187.1672,4.4137,-1.0526,94.9877,0.6421,0.4057,0.2655,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.4447273100562502
Gaia DR3 65010686578036736,65010686578036736,56.822885269829264,23.728264139122256,15.177082168727319,-33.77416148742071,-26.87854583371637,1.598279,13.299052,2.2435732,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3324.6062,3.9969,-1.2019,66.5433,0.0892,0.0593,0.0364,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.47404903628214984
Gaia DR3 65010690873940480,65010690873940480,56.82126025036113,23.726630871297488,15.064495732715876,-34.22966447067361,-26.459941776415953,1.006565,6.8663635,0.6735525,-8.055898,NOT_AVAILABLE,0,true,true,false,false,false,true,true,6112.2217,3.8669,-0.1444,66.5123,4.0E-4,3.0E-4,2.0E-4,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.4751314154305107
Gaia DR3 65299553194356608,65299553194356608,56.16701138806007,24.488104036821422,14.581388106529541,-67.05800946579289,87.21027850223705,1.026663,14.554031,2.6704082,-1.2347682,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.5447406884096234
Gaia DR3 65012718099202432,65012718099202432,57.014784384117796,23.737797205650445,16.990979259330928,35.23238020180065,-125.76970839181541,0.94385487,12.883492,2.3368645,-25.779303,VARIABLE,0,true,true,false,true,false,true,true,3684.7046,4.6812,0.0834,58.695,0.6563,0.4424,0.2676,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.5474516738625193
Gaia DR3 65012718096357504,65012718096357504,57.01543220061438,23.735866964076084,17.33571803412732,32.68296619109759,-125.62744825174552,1.0655878,18.491753,3.4532738,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.549357276644938
Gaia DR3 65262513396409856,65262513396409856,56.00092224951833,24.200722099023835,10.321170033888125,-26.511951011157414,-89.26896975076188,1.0895989,11.169416,1.1461153,-22.186552,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.6002091684248979
Gaia DR3 66504755379545728,66504755379545728,57.23749155579294,23.856874540730196,11.594324054546423,48.0769414241189,-57.90327317993762,0.9815908,6.385194,0.51511574,12.227165,NOT_AVAILABLE,0,false,false,false,false,false,true,true,6690.264,3.7043,-0.3648,85.5499,0.007,0.0062,0.0033,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,0.6187046813899002
